No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
913,WINS,Wintermar Offshore Marine Tbk.,--S-1135000000A132------------,480,0,24 Jun 2024,0,488,474,484,4,1817400,873781200,360,130.9,486,3000,484,95700,4364337057,4364337057,1762755737,85900,286000,0,0,0
914,WIRG,WIR ASIA Tbk.,--U-2135000000I131------------,83,0,24 Jun 2024,0,84,81,83,0,7125800,588469700,281,49.4,83,293900,82,3619400,11938622394,11938622394,7415078369,201700,988700,0,0,0
915,WMPP,Widodo Makmur Perkasa Tbk.,--U-4105000000D231-----------X,12,0,24 Jun 2024,0,0,0,12,0,0,0,0,7.5,0,0,0,0,29419000000,29391191875,9399370500,0,0,0,0,0
916,WMUU,Widodo Makmur Unggas Tbk.,--U-4130000000D231-----------X,7,0,24 Jun 2024,0,8,7,8,1,2204200,15776000,109,4.4,8,3053400,7,1549900,12941176500,12941176500,3931529421,0,0,0,0,0
917,WOMF,Wahana Ottomitra Multiartha Tbk.,--U-2105000000G211------------,362,0,24 Jun 2024,0,368,358,368,6,341200,123912200,34,55.8,366,1600,358,2100,3481481480,3481481480,261111111,0,0,0,0,0
918,WOOD,Integra Indocabinet Tbk.,--S-1135000000E211------------,189,0,24 Jun 2024,0,192,166,190,1,3078800,581826100,425,73.1,191,43200,190,10700,6437500000,6437500000,1863656250,47200,1106600,0,0,0
919,WOWS,Ginting Jaya Energi Tbk.,--U-4130000000A132-----------X,26,0,24 Jun 2024,0,28,27,27,1,2718400,75884200,98,6,27,2100,26,230200,2475720000,2475720000,1370063448,0,0,0,0,0
920,WSBP,Waskita Beton Precast Tbk.,--U-4105000000B121-E---------X,11,0,24 Jun 2024,0,10,10,10,-1,3720400,37204000,112,2,11,2466300,10,3077200,54555721325,54555721325,31653229513,0,0,0,0,0
921,WSKT,Waskita Karya (Persero) Tbk.,--U-4105000000J211M----------X,202,0,24 Jun 2024,0,0,0,202,0,0,0,0,61.3,0,0,0,0,28806807016,28806807016,7100877929,0,0,0,0,0
922,WTON,Wijaya Karya Beton Tbk.,XDS-1130000000B121------------,60,0,24 Jun 2024,0,62,50,62,2,2055100,125471300,201,10.5,62,329300,61,20800,8715466600,8715466600,3399903521,0,22600,0,0,0
923,YELO,Yelooo Integra Datanet Tbk.,--U-4130000000E711-----------X,10,0,24 Jun 2024,0,11,10,11,1,794000,7964400,15,7.2,11,231500,10,795500,1912774405,1912774405,1677311876,0,0,0,0,0
924,YPAS,Yanaprima Hastapersada Tbk,--U-4130000000B131-----------X,188,0,24 Jun 2024,0,206,206,206,18,300,61800,3,37.8,206,100,188,500,668000089,668000089,68002409,0,0,0,0,0
925,YULE,Yulie Sekuritas Indonesia Tbk.,--U-2105000000G312------------,2320,0,24 Jun 2024,0,2350,2300,2350,30,600,1390000,6,1114.9,2390,100,2320,900,1785000000,1785000000,1252891500,0,300,0,0,0
926,ZATA,Bersama Zatta Jaya Tbk.,--U-4130000000E741-----------X,8,0,24 Jun 2024,0,8,7,7,-1,11299900,85897400,77,7,8,16241100,7,16754800,8496000000,1700000000,2301566400,0,0,0,0,0
927,ZBRA,Dosni Roha Indonesia Tbk.,--U-2105000000C311---L--------,454,0,24 Jun 2024,0,454,448,454,0,63200,28663400,25,320.4,454,170500,450,300,2510706263,2510706263,539550776,0,0,0,0,0
928,ZINC,Kapuas Prima Coal Tbk.,--U-4105000000B146-----------X,15,0,24 Jun 2024,0,16,15,15,0,5681500,89300000,207,53.5,15,693900,14,1972400,25250000000,25250000000,8733975000,0,0,0,0,0
929,ZONE,Mega Perintis Tbk.,XDU-2130000000E741------------,1055,0,24 Jun 2024,0,1055,1055,1055,0,700,738500,1,354,1050,100,1045,200,870171478,870171478,153672283,0,0,0,0,0
930,ZYRX,Zyrexindo Mandiri Buana Tbk.,--U-2130000000I221------------,143,0,24 Jun 2024,0,149,139,149,6,309800,44315500,118,59.6,148,2700,141,50100,1333334556,1333334556,333333639,15400,27500,0,0,0
