No,Kode Saham,Nama Perusahaan,Remarks,Sebelumnya,Open Price,Tanggal Perdagangan Terakhir,First Trade,Tertinggi,Terendah,Penutupan,Selisih,Volume,Nilai,Frekuensi,Index Individual,Offer,Offer Volume,Bid,Bid Volume,Listed Shares,Tradeble Shares,Weight For Index,Foreign Sell,Foreign Buy,Non Regular Volume,Non Regular Value,Non Regular Frequency
184,BVIC,Bank Victoria International Tbk.,--U-1105000000G111------------,69,0,24 Jun 2024,0,79,66,76,7,25942200,1988575000,868,71.9,76,1190900,75,11700,15690044647,15690044647,5712745141,184100,2346000,0,0,0
185,BWPT,Eagle High Plantations Tbk.,--U-1105000000D232------------,51,0,24 Jun 2024,0,52,50,52,1,10039600,511334900,122,11.4,52,2912600,51,853000,31525291000,31525291000,7562917311,0,0,0,0,0
186,BYAN,Bayan Resources Tbk.,--U-1130000000A121------------,15175,0,24 Jun 2024,0,15600,14950,15175,0,567500,8672745000,1190,2616.4,15200,100,15150,21600,33333335000,33333335000,6130000307,320600,81100,0,0,0
187,CAKK,Cahayaputra Asa Keramik Tbk.,--U-2130000000C121------------,132,0,24 Jun 2024,0,134,128,129,-3,877300,113770300,99,76.8,129,69900,128,108000,1203300219,1203300219,165574110,0,0,0,0,0
188,CAMP,Campina Ice Cream Industry Tbk.,--U-2135000000D221------------,374,0,24 Jun 2024,0,428,364,404,30,22406900,9030928200,3554,122.4,408,21100,404,336300,5885000000,5885000000,561429000,894100,1620800,0,0,0
189,CANI,Capitol Nusantara Indonesia Tbk.,--U-4130000000A122-E---------X,45,0,24 Jun 2024,0,45,45,45,0,300,13500,3,22.5,45,451500,0,0,833440000,833440000,136934192,0,0,0,0,0
190,CARE,Metro Healthcare Indonesia Tbk.,--U-2135000000F121------------,80,0,24 Jun 2024,0,81,77,80,0,5200700,411110500,184,77.7,80,600,79,387600,33250000000,33250000000,10004925000,4056600,208400,0,0,0
191,CARS,Industri dan Perdagangan Bintraco Dharma Tbk.,--U-1105000000E745------------,78,0,24 Jun 2024,0,81,78,80,2,723000,57293400,80,45.7,80,24600,79,127700,15000000000,15000000000,12753000000,159800,0,0,0,0
192,CASA,Capital Financial Indonesia Tbk.,--U-2105000000G511------------,476,0,24 Jun 2024,0,478,458,476,0,2749800,1285499200,393,869.6,478,1000,474,98400,54476269803,54476269803,17944483273,2369400,17200,56500000,21352800000,3
193,CASH,Cashlez Worldwide Indonesia Tbk.,--U-3000000000I111------------,73,0,24 Jun 2024,0,75,73,75,2,141000,10418800,19,21.4,75,75100,74,2100,1431125517,1431125517,0,0,0,0,0,0
194,CASS,Cardig Aero Services Tbk.,--M-1135000000J111------------,1025,0,24 Jun 2024,0,1070,1025,1065,40,349300,369355500,163,266.3,1075,5000,1065,4600,2086950000,2086950000,356659755,183700,4900,0,0,0
195,CBMF,Cahaya Bintang Medan Tbk.,--U-4100000000E211---L-------X,50,0,24 Jun 2024,0,0,0,50,0,0,0,0,31.3,0,0,0,0,1875000000,1875000000,450000000,0,0,0,0,0
196,CBPE,Citra Buana Prasida Tbk.,--U-2130000000H111------------,125,0,24 Jun 2024,0,127,122,124,-1,260000,32127300,102,82.7,124,200,122,62300,1356250000,1356130000,271250000,0,0,0,0,0
197,CBRE,Cakra Buana Resources Energi Tbk.,--U-4130000000A122-----------X,19,0,24 Jun 2024,0,20,20,20,1,1650500,33010000,69,18.5,0,0,19,224800,4538046972,4538046972,908969156,400000,0,0,0,0
198,CBUT,Citra Borneo Utama Tbk.,--U-1105000000D232------------,915,0,24 Jun 2024,0,910,900,905,-10,3800,3446500,17,131.2,910,100,905,4400,3125000000,3125000000,625000000,0,0,0,0,0
199,CCSI,Communication Cable Systems Indonesia Tbk.,--U-2130000000C131------------,380,0,24 Jun 2024,0,400,372,378,-2,3800,1438800,11,181.1,378,8600,372,1800,1199999998,399187998,129600000,200,0,0,0,0
200,CEKA,Wilmar Cahaya Indonesia Tbk.,--U-2135000000D222------------,1880,0,24 Jun 2024,0,1880,1850,1875,-5,7100,13183000,17,387.4,1875,100,1855,100,595000000,595000000,76398000,500,4500,0,0,0
201,CENT,Centratama Telekomunikasi Indonesia Tbk.,--U-4105000000J321-E---------X,32,0,24 Jun 2024,0,33,32,33,1,1023900,32792400,31,211.2,34,200500,33,43300,31183464900,31183464900,1194326706,886100,0,0,0,0
202,CFIN,Clipan Finance Indonesia Tbk.,--S-1805000000G211------------,500,0,24 Jun 2024,0,510,498,498,-2,3857200,1927581400,453,39,500,213300,498,474500,3984520457,3984520457,1603769484,769400,71100,0,0,0
203,CGAS,Citra Nusantara Gemilang Tbk.,XDU-2130000000A112------------,126,0,24 Jun 2024,0,135,117,128,2,15368100,1997799600,2429,37.9,128,300000,127,112300,1771429000,531429000,530188700,695700,911400,0,0,0
204,CHEM,Chemstar Indonesia Tbk.,XDU-2130000000B111------------,71,0,24 Jun 2024,0,72,68,71,0,511400,35558100,95,47.3,71,595200,70,120600,1700014594,1700014594,463763981,0,0,0,0,0
205,CHIP,Pelita Teknologi Global Tbk.,XDU-3000000000I231------------,1770,0,24 Jun 2024,0,1760,1710,1720,-50,225000,388908500,284,1075,1735,1000,1720,3000,806000000,806000000,0,18500,0,0,0,0
206,CINT,Chitose Internasional Tbk.,--U-2130000000E211------------,138,0,24 Jun 2024,0,140,133,136,-2,5400,728700,22,41.2,135,200,133,800,1000000000,1000000000,274700000,0,0,0,0,0
207,CITA,Cita Mineral Investindo Tbk.,--U-4135000000B141-----------X,2300,0,24 Jun 2024,0,0,0,2300,0,0,0,0,8346,2290,25600,0,0,3960361250,3960361250,295442949,0,0,0,0,0
208,CITY,Natura City Developments Tbk.,--U-2130000000H111------------,50,0,24 Jun 2024,0,50,50,50,0,1800,90000,3,41.7,50,5121300,0,0,5405188966,5405188966,418902145,0,0,0,0,0
209,CLAY,Citra Putra Realty Tbk.,--U-4100000000E512-----------X,216,0,24 Jun 2024,0,216,216,216,0,100,21600,1,120,216,1100,195,100,2570000000,520000000,477763000,0,0,0,0,0
210,CLEO,Sariguna Primatirta Tbk.,XDU-1135000000D212------------,1260,0,24 Jun 2024,0,1310,1245,1250,-10,3558700,4526302500,1206,5434.8,1255,100000,1250,47400,12000000000,12000000000,2704800000,502200,344300,0,0,0
211,CLPI,Colorpak Indonesia Tbk.,--U-2130000000B113------------,1100,0,24 Jun 2024,0,1110,1100,1105,5,100200,110567000,78,552.5,1105,96400,1100,11300,306338500,306338500,87551543,0,17500,0,0,0
212,CMNP,Citra Marga Nusaphala Persada Tbk.,--U-1135000000J112------------,1555,0,24 Jun 2024,0,1555,1495,1495,-60,15700,23599500,37,160.1,1525,2000,1495,1500,5436887222,5436887222,2229102394,0,0,0,0,0
213,CMNT,Cemindo Gemilang Tbk.,--U-1105000000B121------------,1040,0,24 Jun 2024,0,1050,1030,1045,5,28928400,30038007500,1003,153.7,1045,458100,1040,49300,17125504000,17125504000,2162951155,2044800,2513800,0,0,0
214,CMPP,AirAsia Indonesia Tbk.,--U-4135000000K111-E---------X,55,0,24 Jun 2024,0,55,55,55,0,270000,14850000,22,10.4,55,281800,54,30200,10685124441,10685124441,809932433,0,0,0,0,0
215,CMRY,Cisarua Mountain Dairy Tbk.,--M-1135100000D221------------,5050,0,24 Jun 2024,0,5050,4940,5000,-50,463300,2307344500,728,162.3,5000,4100,4990,100,7934683000,7934683000,1489339999,244800,374300,84,424200,1
216,CNKO,Exploitasi Energi Indonesia Tbk.,--U-4100000000A122-E---------X,5,0,24 Jun 2024,0,5,4,5,0,683700,3318500,28,0.3,6,2994800,5,5000,8956361206,8956361206,6462014610,0,0,0,0,0
217,CNMA,Nusantara Sejahtera Raya Tbk.,--M-1130000000E514------------,212,0,24 Jun 2024,0,216,208,214,2,2067400,440566800,273,79.3,216,129600,214,1048400,83345000000,83333888000,8334500000,398600,182200,0,0,0
218,CNTB,Saham Seri B ( Centex Tbk ),--U-4000000000E413-E---------X,250,0,24 Jun 2024,0,0,0,250,0,0,0,0,0,0,0,0,0,130000000,130000000,0,0,0,0,0,0
219,CNTX,Century Textile Industry Tbk.,--U-4100000000E413-E---------X,142,0,24 Jun 2024,0,0,0,142,0,0,0,0,258.2,150,6100,128,100,70000000,70000000,17591000,0,0,0,0,0
220,COAL,Black Diamond Resources Tbk.,--U-4100000000A121-----------X,26,0,24 Jun 2024,0,28,28,28,2,3115700,87239600,78,28,0,0,28,25900700,6250000000,6250000000,2280000000,2200,0,0,0,0
221,COCO,Wahana Interfood Nusantara Tbk.,--U-2100000000D222------------,115,0,24 Jun 2024,0,120,110,117,2,259500,29620300,158,59.1,117,16000,116,900,889863981,889863981,295434842,0,1000,0,0,0
222,COWL,Cowell Development Tbk.,--U-4100000000H111BEDL---Y---X,50,0,24 Jun 2024,0,0,0,50,0,0,0,0,38.5,0,0,0,0,4871214021,4871214021,312244819,0,0,0,0,0
223,CPIN,Charoen Pokphand Indonesia Tbk,XDSO1SD3F3D000D231------------,4780,4830,24 Jun 2024,4830,5100,4820,5100,320,7437200,37184515500,3017,23227.2,5100,196200,5050,150000,16398000000,16398000000,5604836400,3024700,5639000,0,0,0
224,CPRI,Capri Nusa Satu Properti Tbk.,--U-4100000000H111---L---Y---X,50,0,24 Jun 2024,0,0,0,50,0,0,0,0,40,0,0,0,0,2433379958,2433379958,683293092,0,0,0,0,0
225,CPRO,Central Proteina Prima Tbk.,--U-2135000000D231------------,50,0,24 Jun 2024,0,50,50,50,0,192600,9630000,22,45.5,50,66605200,0,0,59572382787,59572382787,20171208812,0,0,0,0,0
226,CRAB,Toba Surimi Industries Tbk.,XDM-2130000000D231------------,304,0,24 Jun 2024,0,304,300,304,0,2041800,616638000,40,202.7,306,189000,304,12600,1950000000,1950000000,339300000,5500,416500,0,0,0
227,CRSN,Carsurin Tbk.,--U-2130000000C232------------,97,0,24 Jun 2024,0,99,97,98,1,115000,11265900,20,78.4,99,11700,98,22900,2892000000,2892000000,600090000,4600,0,0,0,0
228,CSAP,Catur Sentosa Adiprana Tbk.,--U-2135000000E743------------,496,0,24 Jun 2024,0,492,476,492,-4,231000,110097600,16,250,490,100,476,10800,5683175151,5683175151,264835962,1500,164500,0,0,0
229,CSIS,Cahayasakti Investindo Sukses Tbk.,--U-4130000000H111-----------X,17,0,24 Jun 2024,0,18,17,18,1,2865900,51553300,35,6,0,0,18,5644800,1307000000,1307000000,261400000,0,0,0,0,0
230,CSMI,Cipta Selera Murni Tbk.,--U-4135000000E515-----------X,2870,0,24 Jun 2024,0,0,0,2870,0,0,0,0,1464.3,2870,17900,0,0,816061500,816061500,184021868,0,0,0,0,0
231,CSRA,Cisadane Sawit Raya Tbk.,XDU-2135000000D232------------,520,0,24 Jun 2024,0,590,520,570,50,2472800,1355951500,482,456,570,8500,565,4000,2050000000,2050000000,410000000,140100,0,0,0,0
232,CTBN,Citra Tubindo Tbk.,--U-4135000000B144-----------X,1090,0,24 Jun 2024,0,0,0,1090,0,0,0,0,911,0,0,1090,4900,800371500,800371500,89321459,0,0,0,0,0
233,CTRA,Ciputra Development Tbk.,CDS-1M3CM8G000H111------------,1125,0,24 Jun 2024,0,1125,1090,1095,-30,9886600,10892724000,1579,245.2,1100,83500,1095,178200,18535695255,18535695255,8463398453,5908300,5140500,38,41610,1
234,CTTH,Citatah Tbk.,--U-4100000000C121-----------X,13,0,24 Jun 2024,0,12,12,12,-1,304100,3649200,14,0.5,12,1635300,0,0,1230839821,1230839821,539600178,0,0,0,0,0
235,CUAN,Petrindo Jaya Kreasi Tbk.,--U-1130000000A121------------,8275,0,24 Jun 2024,0,8350,8150,8200,-75,2269900,18712850000,1912,3727.3,8225,43400,8200,13600,11241890000,11241890000,1688531878,208500,389100,0,0,0
236,CYBR,ITSEC Asia Tbk.,--U-2130000000I121------------,402,0,24 Jun 2024,0,402,386,398,-4,9450900,3716046600,1934,398,398,19100,390,47900,6449574702,1008734800,1394398051,1585800,1349800,0,0,0
237,DADA,Diamond Citra Propertindo Tbk.,--U-4130000000H111-----------X,5,0,24 Jun 2024,0,6,5,5,0,591800,3094700,56,4.9,6,13704600,5,1067500,7431530800,7431530800,2366942560,0,35200,0,0,0
238,DART,Duta Anggada Realty Tbk.,--U-2100000000H111------------,80,0,24 Jun 2024,0,82,79,82,2,61700,4944700,34,15.2,82,7200,80,8800,3141390962,3141390962,208588360,3300,11700,0,0,0
239,DATA,Remala Abadi Tbk.,--U-2130000000J311------------,386,0,24 Jun 2024,0,442,374,440,54,31781300,13316980000,6755,234,440,236000,438,13300,1375000000,275000000,275000000,375000,5730300,0,0,0
240,DAYA,Duta Intidaya Tbk.,--U-2130000000D111------------,362,0,24 Jun 2024,0,366,358,358,-4,500,180200,5,199.9,358,300,352,200,2420547025,2420547025,210587591,0,0,0,0,0
241,DCII,DCI Indonesia Tbk.,--U-2130000000I121------------,35150,0,24 Jun 2024,0,35200,35150,35200,50,2100,73915000,4,8381,35800,200,35000,100,2383745900,2383745900,442184864,0,300,0,0,0
242,DEAL,Dewata Freightinternational Tbk.,--U-4100000000K211ME-L-------X,6,0,24 Jun 2024,0,0,0,6,0,0,0,0,4,0,0,0,0,1146170959,1146170959,922094537,0,0,0,0,0
243,DEFI,Danasupra Erapacific Tbk.,--U-4100000000G211-----------X,1455,0,24 Jun 2024,0,0,0,1455,0,0,0,0,2920.4,0,0,0,0,687266666,687266666,169273780,0,0,0,0,0
244,DEPO,Caturkarda Depo Bangunan Tbk.,XDU-2135000000E743------------,370,0,24 Jun 2024,0,370,356,370,0,20000,7327000,19,76.8,368,200,360,13600,6790000000,6790000000,517398000,0,0,0,0,0
245,DEWA,Darma Henwa Tbk,--U-1135000000A132------------,58,0,24 Jun 2024,0,59,57,58,0,17988600,1039449600,225,19.1,58,4223100,57,21963500,21853733792,21853733792,15524892486,1020400,201300,0,0,0
246,DEWI,Dewi Shri Farmindo Tbk.,--U-2130000000D231------------,66,0,24 Jun 2024,0,66,64,66,0,11615500,757796100,2524,66,66,724400,65,1000,2000000000,2000000000,598200000,0,0,300000,19500000,1
247,DFAM,Dafam Property Indonesia Tbk.,--U-2100000000E512------------,50,0,24 Jun 2024,0,50,50,50,0,11000,550000,2,43.5,50,1960000,0,0,1899852850,1899852850,437916082,0,0,0,0,0
248,DGIK,Nusa Konstruksi Enjiniring Tbk.,--U-2130000000J211------------,90,0,24 Jun 2024,0,90,88,89,-1,14209000,1264601600,324,39.6,90,830500,89,196300,5541165000,5541165000,1511075696,200000,170000,0,0,0
249,DGNS,Diagnos Laboratorium Utama Tbk.,--U-2130000000F121------------,206,0,24 Jun 2024,0,216,206,210,4,20400,4296800,31,105,210,1000,208,11300,1250000000,1250000000,275000000,7600,0,0,0,0
250,DIGI,Arkadia Digital Media Tbk.,--U-4100000000E614-E---------X,12,0,24 Jun 2024,0,12,12,12,0,408200,4898400,19,30,13,38600,11,646500,1625000000,1625000000,641712500,0,0,0,0,0
251,DILD,Intiland Development Tbk.,--S-1175000000H111------------,165,0,24 Jun 2024,0,169,159,160,-5,37620900,6116955800,1600,27.9,160,39000,159,3865400,10365854185,10365854185,3450792858,335900,1760200,0,0,0
252,DIVA,Distribusi Voucher Nusantara Tbk.,--U-2130000000I111------------,80,0,24 Jun 2024,0,108,86,108,28,17016700,1715206100,3739,7.3,0,0,108,4120200,1428571400,1428571400,251571424,81100,81100,0,0,0
253,DKFT,Central Omega Resources Tbk.,--U-2130000000B146------------,95,0,24 Jun 2024,0,99,95,97,2,1695100,164159800,155,249.2,98,263100,97,460700,5638246600,5638246600,1880355241,123800,0,0,0,0
254,DLTA,Delta Djakarta Tbk.,XDU-1105000000D211------------,2880,0,24 Jun 2024,0,2910,2870,2900,20,16400,47310000,37,17335.2,2900,1900,2890,100,800659050,800659050,119858660,0,3500,0,0,0
255,DMAS,Puradelta Lestari Tbk.,--M-1135000000H111------------,157,0,24 Jun 2024,0,158,153,155,-2,17044700,2648517300,2822,73.8,156,198000,155,51600,48198111100,48198111100,8540705287,4522000,7477500,0,0,0
256,DMMX,Digital Mediatama Maxima Tbk.,--U-2135000000I121------------,129,0,24 Jun 2024,0,132,126,129,0,348200,44410800,113,56.1,129,288400,128,49400,7692307700,7692307700,1678461540,4200,0,0,0,0
257,DMND,Diamond Food Indonesia Tbk.,--U-4135000000D112-----------X,695,0,24 Jun 2024,0,695,695,695,0,11500,7992500,5,76,695,3100,690,5000,9468359000,9468359000,100364605,500,0,0,0,0
258,DNAR,Bank Oke Indonesia Tbk.,--U-2105000000G111------------,73,0,24 Jun 2024,0,74,70,73,0,77000,5599000,71,72.1,74,618000,73,19900,16867292274,16867292274,1426972926,0,1800,0,0,0
259,DNET,Indoritel Makmur Internasional Tbk.,--U-2100000000G512------------,4950,0,24 Jun 2024,0,4950,4860,4880,-70,800,3905000,7,4286.8,4950,1300,4880,100,14184000000,14184000000,2157386400,200,300,0,0,0
260,DOID,Delta Dunia Makmur Tbk.,--S-1815000000A132------------,494,0,24 Jun 2024,0,520,480,515,21,11932800,5964302300,1304,697.2,520,353100,515,96000,8621173232,8621173232,3614857936,5118000,2068500,0,0,0
261,DOOH,Era Media Sejahtera Tbk.,--U-2130000000E611------------,53,0,24 Jun 2024,0,54,52,54,1,130616900,6927521600,5640,54,54,6237500,53,2000,7737558540,7737558540,1700714545,3425100,441600,0,0,0
262,DPNS,Duta Pertiwi Nusantara Tbk.,--U-2130000000B113------------,384,0,24 Jun 2024,0,384,380,382,-2,49300,18812000,18,124.1,390,100,382,1500,331129952,331129952,100067471,0,16100,0,0,0
263,DPUM,Dua Putra Utama Makmur Tbk.,--U-4100000000D231-----------X,20,0,24 Jun 2024,0,22,22,22,2,711000,15642000,19,4,0,0,22,69500,4175000000,4175000000,1250412500,0,0,0,0,0
264,DRMA,Dharma Polimetal Tbk.,--S-1835106000E111------------,865,0,24 Jun 2024,0,885,860,880,15,1940000,1698846500,820,176,885,182900,880,100,4705882300,4705882300,906352931,690200,473400,80000,69570000,4
265,DSFI,Dharma Samudera Fishing Industries Tbk.,--U-2130000000D231------------,50,0,24 Jun 2024,0,51,50,51,1,279600,14080000,13,29,51,147400,50,88600,1857135500,1857135500,570326312,0,0,0,0,0
266,DSNG,Dharma Satya Nusantara Tbk.,XDU-18AF80G000D232------------,620,0,24 Jun 2024,0,625,610,615,-5,29215800,18053871500,1350,166.2,615,218200,605,1795800,10599842400,10599842400,3512787771,2870300,2719100,0,0,0
267,DSSA,Dian Swastatika Sentosa Tbk,--U-1130000000A121------------,240000,0,24 Jun 2024,0,240000,239000,239000,-1000,127900,30569975000,27,15933.3,239500,500,239000,100,770552320,770552320,154881016,125200,125700,0,0,0
268,DUCK,Jaya Bersama Indo Tbk.,--U-4100000000E515---L---Y---X,176,0,24 Jun 2024,0,0,0,176,0,0,0,0,34.9,0,0,0,0,1283330000,1283330000,1074403876,0,0,0,0,0
269,DUTI,Duta Pertiwi Tbk,--U-4135000000H111-----------X,4000,0,24 Jun 2024,0,3970,3970,3970,-30,200,794000,2,399.3,4000,9800,3970,400,1850000000,1850000000,150775000,0,0,0,0,0
270,DVLA,Darya-Varia Laboratoria Tbk.,--U-2135000000F211------------,1620,0,24 Jun 2024,0,1615,1540,1575,-45,97100,152403500,106,579.7,1575,5400,1560,100,1120000000,1120000000,86912000,13400,5500,0,0,0
271,DWGL,Dwi Guna Laksana Tbk.,--U-2135000000A122------------,101,0,24 Jun 2024,0,105,98,101,0,2700,268700,13,67.3,100,500,96,1800,9252820991,9252820991,2594491006,0,0,0,0,0
272,DYAN,Dyandra Media International Tbk.,--U-2130000000C224------------,82,0,24 Jun 2024,0,82,80,81,-1,2418500,194546900,134,23.1,82,716900,80,2498900,4272964279,4272964279,1009701459,6000,0,0,0,0
273,EAST,Eastparc Hotel Tbk.,XDU-2130000000E512------------,123,0,24 Jun 2024,0,125,122,123,0,325100,40070000,175,92.5,124,145300,123,7100,4126405336,4126405336,1809841380,0,0,0,0,0
274,ECII,Electronic City Indonesia Tbk.,--U-2130000000E742------------,258,0,24 Jun 2024,0,260,250,258,0,62600,16041800,60,6.4,258,1500,252,500,1334333000,1334333000,165590725,29800,0,0,0,0
275,EDGE,Indointernet Tbk.,--U-2135000000I121------------,3950,0,24 Jun 2024,0,4280,3880,4030,80,32100,128991000,65,273.2,4030,100,3910,100,2020250000,2020250000,8081000,3500,4100,0,0,0
276,EKAD,Ekadharma International Tbk.,XDU-2130000000B113------------,214,0,24 Jun 2024,0,216,210,214,0,88900,18878800,84,2707.1,214,92000,212,56500,3493875000,3493875000,603042825,0,7800,0,0,0
277,ELIT,Data Sinergitama Jaya Tbk.,--U-2130000000I121------------,107,0,24 Jun 2024,0,112,105,105,-2,1288200,136709000,228,87.5,106,61000,105,75800,2031643057,561432633,511161393,0,50000,0,0,0
278,ELPI,Pelayaran Nasional Ekalya Purnamasari Tbk.,XDM-1135000000K211------------,280,0,24 Jun 2024,0,282,274,282,2,3316600,921902000,1229,141,282,78800,280,40000,7412000000,7412000000,1105129200,441100,83800,0,0,0
279,ELSA,Elnusa Tbk.,XDS-187FR91000A131------------,432,0,24 Jun 2024,0,438,432,434,2,15410100,6678816200,1600,108.5,434,1752200,432,460700,7298500000,7298500000,3563127700,932900,10587700,0,0,0
280,ELTY,Bakrieland Development Tbk.,--U-4135000000H111-----------X,7,0,24 Jun 2024,0,8,8,8,1,8918400,71347200,59,1.6,8,15898500,7,16464600,43521913019,43521913019,38164365526,0,0,0,0,0
281,EMDE,Megapolitan Developments Tbk.,--U-2130000000H111------------,82,0,24 Jun 2024,0,82,81,82,0,12100,980200,6,32.8,82,12900,79,200,3350000000,3350000000,750065000,0,0,0,0,0
282,EMTK,Elang Mahkota Teknologi Tbk.,CDS-18A5M4H000I111------------,380,0,24 Jun 2024,0,394,380,388,8,35011400,13563265800,3735,538.9,388,130000,386,177800,61316751483,61316751483,15365977922,4616300,11782800,108,41360,2
283,ENAK,Champ Resto Indonesia Tbk.,--U-2135000000E515------------,1020,0,24 Jun 2024,0,1025,1025,1025,5,26500,27162500,5,120.6,1025,24700,1020,36900,2166666800,2166666800,306583352,26500,23400,0,0,0
284,ENRG,Energi Mega Persada Tbk.,--S-1875560000A111------------,180,0,24 Jun 2024,0,187,179,185,5,30430000,5589049900,1445,15.4,186,238700,185,7000,24821230250,24821230250,12676202289,3883200,4543200,0,0,0
285,ENVY,Envy Technologies Indonesia Tbk.,--U-4100000000I121-E--S--Y---X,50,0,24 Jun 2024,0,0,0,50,0,0,0,0,13.5,0,0,0,0,1800000000,1800000000,1560060000,0,0,0,0,0
286,ENZO,Morenzo Abadi Perkasa Tbk.,--U-4130000000D231-----------X,27,0,24 Jun 2024,0,29,27,29,2,215500,6249300,10,27.6,0,0,29,255100,2162547122,2162547122,513821196,0,0,0,0,0
287,EPAC,Megalestari Epack Sentosaraya Tbk.,--U-4130000000B131-----------X,7,0,24 Jun 2024,0,7,7,7,0,51700,361900,6,6.4,7,136100,6,409300,3303400000,3303400000,822216260,0,0,0,0,0
288,EPMT,Enseval Putera Megatrading Tbk.,--U-4135000000D111-----------X,2260,0,24 Jun 2024,0,2270,2270,2270,10,24000,54480000,15,1588.2,2290,100,2270,24600,2708640000,2708640000,201251952,18800,0,0,0,0
289,ERAA,Erajaya Swasembada Tbk.,--S-1875M80000E742------------,392,0,24 Jun 2024,0,398,388,388,-4,10196400,3974240200,1510,194.7,390,264000,388,343300,15950000000,15950000000,7040330000,1913700,439200,0,0,0
290,ERAL,Sinar Eka Selaras Tbk.,CDM-1130000000E742------------,214,0,24 Jun 2024,0,216,208,210,-4,4242900,885485600,438,53.8,212,259400,210,174100,5187500000,5186273200,1036981250,800,175000,0,0,0
291,ERTX,Eratex Djaja Tbk.,--U-2100000000E411------------,228,0,24 Jun 2024,0,230,228,230,2,58300,13336400,23,97.6,230,88300,228,11000,1286539792,1286539792,96490484,1800,0,0,0,0
292,ESIP,Sinergi Inti Plastindo Tbk.,--U-4130000000B131-----------X,18,0,24 Jun 2024,0,18,18,18,0,158300,2849400,9,13.4,18,557200,17,571300,1109953847,1109953847,402247274,0,0,0,0,0
293,ESSA,ESSA Industries Indonesia Tbk.,--SO1H75M6D000B111------------,765,770,24 Jun 2024,770,780,740,750,-15,15710700,11895075500,2347,1396.4,755,539200,750,2761600,17226975700,17226975700,9466223147,1888700,880300,55000,44550000,1
294,ESTA,Esta Multi Usaha Tbk.,--U-2130000000E512------------,115,0,24 Jun 2024,0,115,112,114,-1,2918600,331246800,213,285.8,114,114400,112,187200,2425354179,2425354179,294680533,0,16700,0,0,0
295,ESTI,Ever Shine Tex Tbk.,--U-4130000000E413-----------X,30,0,24 Jun 2024,0,33,32,32,2,33200,1068500,15,12.9,33,456800,32,294900,2015208720,2015208720,171091220,0,0,0,0,0
296,ETWA,Eterindo Wahanatama Tbk,--U-4100000000B111BE-L-------X,70,0,24 Jun 2024,0,0,0,70,0,0,0,0,5.8,0,0,0,0,4668671400,4668671400,729246473,0,0,0,0,0
297,EURO,Estee Gold Feet Tbk.,XDU-3000000000D421------------,202,0,24 Jun 2024,0,222,202,222,20,2793100,604466800,568,317.1,0,0,222,848500,2548826428,2548826428,0,411400,99600,0,0,0
298,EXCL,XL Axiata Tbk.,--SO1X3LM2N000J321------------,2180,2180,24 Jun 2024,2190,2200,2150,2160,-20,11920500,25871144000,1578,109.6,2170,20000,2160,2072000,13128430665,13128430665,4352074765,7544200,2373200,0,0,0
299,FAPA,FAP Agri Tbk.,--U-2135000000D232------------,5300,0,24 Jun 2024,0,5300,5275,5300,0,12100,64125000,13,288,5300,2100,5275,2000,3629411800,3629411800,743303537,12100,0,0,0,0
300,FAST,Fast Food Indonesia Tbk.,--U-2135000000E515------------,490,0,24 Jun 2024,0,492,470,486,-4,58900,28187000,31,1528.6,486,20900,470,4200,3990277158,3990277158,632458930,13200,0,0,0,0
301,FASW,Fajar Surya Wisesa Tbk.,--U-4105000000B131-----------X,5500,0,24 Jun 2024,0,0,0,5500,0,0,0,0,1260.4,5500,800,4950,100,2477888787,2477888787,5451355,0,0,0,0,0
302,FILM,MD Pictures Tbk.,--U-1130400000E621------------,4180,0,24 Jun 2024,0,5100,4110,5100,920,4817500,20819702000,1612,2428.6,5100,2067000,4200,500,9511217000,9511217000,1278307565,197200,4498800,40,204000,1
303,FIMP,Fimperkasa Utama Tbk.,--U-3000000000J211------------,44,0,24 Jun 2024,0,44,43,44,0,61700,2653400,617,35.2,44,43500,42,1200,400000975,400000975,0,0,0,0,0,0
304,FIRE,Alfa Energi Investama Tbk.,--U-2130000000A122------------,80,0,24 Jun 2024,0,83,78,80,0,5185700,416338100,521,16,81,37900,80,185600,1475363179,1475363179,596046724,0,11700,0,0,0
305,FISH,FKS Multi Agro Tbk.,--U-4135000000D232-----------X,6100,0,24 Jun 2024,0,0,0,6100,0,0,0,0,4880,0,0,6100,1100,480000000,480000000,50496000,0,0,0,0,0
306,FITT,Hotel Fitra International Tbk.,CRU-2100000000E512------------,234,0,24 Jun 2024,0,238,191,192,-42,7204200,1477960500,508,188.2,192,103300,191,138500,726130199,502130199,390149756,256800,242000,0,0,0
307,FLMC,Falmaco Nonwoven Industri Tbk.,--U-3000000000D421------------,72,0,24 Jun 2024,0,79,72,79,7,308400,24070100,42,39.5,0,0,79,113200,781250000,781250000,0,0,0,0,0,0
308,FMII,Fortune Mate Indonesia Tbk,--U-2135000000H111------------,128,0,24 Jun 2024,0,132,125,130,2,22100,2804400,36,306.6,130,4500,126,500,6400000000,6400000000,776320000,2000,2400,0,0,0
309,FOLK,Multi Garam Utama Tbk.,--U-2130000000C311------------,54,0,24 Jun 2024,0,56,54,55,1,34300,1891200,20,55,55,2000,54,11800,3948139853,570006553,1064417775,1500,0,0,0,0
